idVersion,nombre,linea,sentencias,referencias,indice,cc,isExit
7779925810634,,188,3,1,1,1,0
7779925810634,0000-INICIO,194,15,0,2,1,0
7779925810634,0100-PARAMETROS,213,2,0,3,1,0
7779925810634,1000-PROCESO,226,21,0,4,5,0
7779925810634,10000-ESCRIBE-TSQ,372,3,0,14,2,0
7779925810634,3100-EJECUTA,254,24,0,5,18,0
7779925810634,9000-TERMINA,302,1,0,6,1,0
7779925810634,9010-ESCRIBE-SALIDA-1,305,5,0,7,1,0
7779925810634,9010-ESCRIBE-SALIDA-2,312,5,0,8,1,0
7779925810634,9100-ESCRIBE-SALIDA,319,12,0,9,1,0
7779925810634,9500-VALIDA-CICS,339,7,0,10,2,0
7779925810634,9600-VALIDA-SQL,349,1,0,11,1,0
7779925810634,9800-ABORTA,356,5,0,12,1,0
7779925810634,9900-FIN,369,1,0,13,1,0
