idVersion,nombre,linea,sentencias,referencias,indice,cc,isExit
7779925203017,00000-CONTROL,123,3,1,1,1,0
7779925203017,10000-INICIO,129,12,0,2,2,0
7779925203017,20000-PROCESO,155,4,0,3,2,0
7779925203017,20100-VALIDA-DATOS,164,20,0,4,8,0
7779925203017,20200-MOVER-DATOS,196,4,0,5,1,0
7779925203017,20300-LINK-PROGRAMA,207,48,0,6,16,0
7779925203017,222-MUEVE-DATOS-RESP,295,13,0,7,1,0
7779925203017,223-ESCRIBE-IMPRESION-DET,324,15,0,8,2,0
7779925203017,70000-TERMINAR,356,1,0,9,1,0
7779925203017,998-ERROR-DB2,362,7,0,10,1,0
7779925203017,999-ERROR-CICS,377,8,0,11,1,0
